strategy_key,strategy_label,score_lookback,r20_min,er20_min,entry_rule,exit_rule,entry_year,year_basis,year_period_start,year_period_end,first_entry_date,last_entry_date,first_exit_date,last_exit_date,is_partial_year,is_full_calendar_year,completed_trades,winning_trades,losing_trades,flat_trades,gross_profit,gross_loss_abs,sum_trade_returns,avg_trade_return,median_trade_return,profit_factor,win_rate,p10_trade_return,worst_trade_return,best_trade_return,avg_holding_days
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 - 0.5ATR trailing,10,-0.02,0.05,breakout_5d_after_signal,low20_minus_0_5atr,2017,entry_year,2017-04-10,2017-12-31,2017-04-12,2017-12-29,2017-05-03,2018-03-21,True,False,566,341,225,0,12.66452141727805,4.236154919576022,8.428366497702026,0.014891106886399339,0.005287574511986472,2.989626597165522,0.6024734982332155,-0.02636560127726051,-0.2552564670715264,0.1661540070153622,42.87809187279152
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 - 0.5ATR trailing,10,-0.02,0.05,breakout_5d_after_signal,low20_minus_0_5atr,2018,entry_year,2018-01-01,2018-12-31,2018-01-02,2018-12-31,2018-01-30,2019-04-01,False,True,566,205,361,0,6.303135387723214,11.07717362571918,-4.774038237995967,-0.008434696533561778,-0.009251339761184306,0.5690201851750776,0.3621908127208481,-0.05696664283589209,-0.20553160392331826,0.11996143383539803,35.93109540636043
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 - 0.5ATR trailing,10,-0.02,0.05,breakout_5d_after_signal,low20_minus_0_5atr,2019,entry_year,2019-01-01,2019-12-31,2019-01-02,2019-12-30,2019-02-21,2020-03-12,False,True,876,562,314,0,27.060362977504653,6.440322478670308,20.620040498834346,0.023538859016934185,0.00909119054040053,4.201709319234529,0.6415525114155252,-0.024980370622145642,-0.11932893431053715,0.8439384260862783,44.38812785388128
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 - 0.5ATR trailing,10,-0.02,0.05,breakout_5d_after_signal,low20_minus_0_5atr,2020,entry_year,2020-01-01,2020-12-31,2020-01-03,2020-12-31,2020-01-15,2021-04-01,False,True,716,401,315,0,38.87879504261371,12.35585809689073,26.522936945722982,0.03704320802475277,0.0061024304600281205,3.146588018228965,0.5600558659217877,-0.061455284982042,-0.29544844846374707,1.3138085000490347,44.56145251396648
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 - 0.5ATR trailing,10,-0.02,0.05,breakout_5d_after_signal,low20_minus_0_5atr,2021,entry_year,2021-01-01,2021-12-31,2021-01-04,2021-12-31,2021-01-12,2022-03-28,False,True,779,285,494,0,11.475326805302029,16.2573729379413,-4.782046132639274,-0.006138698501462482,-0.01081560705138662,0.7058536978333702,0.36585365853658536,-0.057300588062265234,-0.2779843604885638,0.16760763487933383,33.77920410783055
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 - 0.5ATR trailing,10,-0.02,0.05,breakout_5d_after_signal,low20_minus_0_5atr,2022,entry_year,2022-01-01,2022-12-31,2022-01-04,2022-12-28,2022-01-19,2023-03-06,False,True,771,147,624,0,6.461667095629048,27.668097480815067,-21.20643038518602,-0.027505097775857357,-0.03709276054490118,0.2335421544654286,0.19066147859922178,-0.06724514386946956,-0.1835718406380017,0.28447322089076943,25.102464332036316
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 - 0.5ATR trailing,10,-0.02,0.05,breakout_5d_after_signal,low20_minus_0_5atr,2023,entry_year,2023-01-01,2023-12-31,2023-01-06,2023-12-29,2023-02-06,2024-04-01,False,True,996,576,420,0,33.885128812864,10.93689300984684,22.948235803017155,0.023040397392587505,0.010451039581213075,3.0982408607596432,0.5783132530120482,-0.03565991938434332,-0.1346576578956682,0.4345732524854362,41.73192771084337
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 - 0.5ATR trailing,10,-0.02,0.05,breakout_5d_after_signal,low20_minus_0_5atr,2024,entry_year,2024-01-01,2024-12-31,2024-01-05,2024-12-18,2024-02-13,2025-03-20,False,True,1165,483,682,0,21.253673097118348,22.83939272178723,-1.5857196246688814,-0.0013611327250376663,-0.01092972666564118,0.9305708499352431,0.4145922746781116,-0.051103116627877386,-0.16548312694468748,0.28260872170004303,37.5862660944206
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 - 0.5ATR trailing,10,-0.02,0.05,breakout_5d_after_signal,low20_minus_0_5atr,2025,entry_year,2025-01-01,2025-12-31,2025-01-03,2025-12-31,2025-01-27,2026-04-01,False,True,1307,786,521,0,42.11724508001106,14.84340833848277,27.273836741528292,0.020867510896349115,0.007430109879861037,2.8374376099873637,0.6013771996939556,-0.03798559143484133,-0.2181961802629272,0.5105295672861656,45.77352716143841
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 - 0.5ATR trailing,10,-0.02,0.05,breakout_5d_after_signal,low20_minus_0_5atr,2026,entry_year,2026-01-01,2026-07-15,2026-01-05,2026-07-01,2026-01-20,2026-07-22,True,False,606,287,319,0,18.415392298987815,7.519890414776564,10.895501884211251,0.01797937604655322,-0.002288270823675607,2.4488910453803445,0.4735973597359736,-0.039299098136464594,-0.17258770781375887,0.4502430240135451,38.71782178217822
