behavior_group_id,representative_strategy_key,member_count,member_strategy_keys,normalized_return_hash,qualified_member_count,bootstrap_scope,pareto_input,seed,mean_block_length,bootstrap_paths,path_observations,index_matrix_hash,comparison_index_matrix_hash,additional_index_matrix_hash,prob_ending_equity_above_1000,prob_cagr_above_zero,prob_cagr_above_spy,prob_mdd_above_10pct,prob_mdd_above_15pct,prob_mdd_above_20pct,prob_mdd_above_30pct,prob_mdd_above_40pct,prob_ending_equity_below_750,prob_ending_equity_below_500,calmar_5pct,ending_equity_5pct,ending_equity_25pct,ending_equity_50pct,ending_equity_75pct,ending_equity_95pct,cagr_5pct,cagr_25pct,cagr_50pct,cagr_75pct,cagr_95pct,mdd_magnitude_50pct,mdd_magnitude_75pct,mdd_magnitude_90pct,mdd_magnitude_95pct,mdd_magnitude_99pct,cdar_magnitude_50pct,cdar_magnitude_90pct,cdar_magnitude_95pct,cdar_magnitude_99pct,es95_magnitude_50pct,es95_magnitude_90pct,es95_magnitude_95pct,es95_magnitude_99pct,longest_underwater_observations_50pct,longest_underwater_observations_90pct,longest_underwater_observations_95pct,longest_underwater_observations_99pct,pareto_unit,strict_pareto_frontier,tolerance_pareto_frontier,strict_dominator_count,tolerance_dominator_count,frontier_if_dimension_removed,leader_objectives,descriptive_categories,cagr,dsr_raw_n_540,mean_relative_crash_protection,maximum_drawdown_magnitude,cdar_95_magnitude,worst_crash_loss_capture,longest_time_under_water_days,cost_2x_cagr_drop
B034,score_bo_l10_rm002_erp010__signal_2d_confirm__low20_minus_0_5atr,2,score_bo_l10_rm002_erp010__signal_2d_confirm__low20_minus_0_5atr;score_bo_l10_rp000_erp010__signal_2d_confirm__low20_minus_0_5atr,7e0cb95fd5d04d5ae4f1b010faa15df653818bc0e69ce9e4b4919376729e59cf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B035,score_bo_l10_rm002_erp010__signal_2d_confirm__ma50,2,score_bo_l10_rm002_erp010__signal_2d_confirm__ma50;score_bo_l10_rp000_erp010__signal_2d_confirm__ma50,754dccd6429549eb6f7ce4235266c7fcdda971c3e948a9af27b7d6ed598e2eb2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B036,score_bo_l10_rm002_erp010__signal_3d_confirm__chandelier20_2_5atr,2,score_bo_l10_rm002_erp010__signal_3d_confirm__chandelier20_2_5atr;score_bo_l10_rp000_erp010__signal_3d_confirm__chandelier20_2_5atr,b6e1ffc61616aac8db90bfb85c5596f0c40f70b7bce1b78edbc711df3f7a8959,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B037,score_bo_l10_rm002_erp010__signal_3d_confirm__low10,2,score_bo_l10_rm002_erp010__signal_3d_confirm__low10;score_bo_l10_rp000_erp010__signal_3d_confirm__low10,57064a7f943b23d3cddfce7e71366fe8d43f5c1f7b565592bdd3eb20f08eb80a,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B038,score_bo_l10_rm002_erp010__signal_3d_confirm__low20,2,score_bo_l10_rm002_erp010__signal_3d_confirm__low20;score_bo_l10_rp000_erp010__signal_3d_confirm__low20,428b3dbc29ca957c9ee2bd8246432f341c12d181267d9a62839ebf6f4ee51d99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B039,score_bo_l10_rm002_erp010__signal_3d_confirm__low20_minus_0_5atr,2,score_bo_l10_rm002_erp010__signal_3d_confirm__low20_minus_0_5atr;score_bo_l10_rp000_erp010__signal_3d_confirm__low20_minus_0_5atr,8b7af9d4eddb3393e3a8936c585b5ebb6475c69bf5b7ed0cba7d5621412abcbe,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B040,score_bo_l10_rm002_erp010__signal_3d_confirm__ma50,2,score_bo_l10_rm002_erp010__signal_3d_confirm__ma50;score_bo_l10_rp000_erp010__signal_3d_confirm__ma50,0849cd98c3ca007539ff53ef1baff906cb8e5e455e3ecf8468a3626f1169db23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B041,score_bo_l10_rm002_erp015__breakout_5d_after_signal__chandelier20_2_5atr,2,score_bo_l10_rm002_erp015__breakout_5d_after_signal__chandelier20_2_5atr;score_bo_l10_rp000_erp015__breakout_5d_after_signal__chandelier20_2_5atr,ba8d3cbbb24bdbc33534a5a4a948ca7adba5512676627f9d8f448e7fda363c60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B042,score_bo_l10_rm002_erp015__breakout_5d_after_signal__low10,2,score_bo_l10_rm002_erp015__breakout_5d_after_signal__low10;score_bo_l10_rp000_erp015__breakout_5d_after_signal__low10,52000936b301816c1761fd3b656d65d81497872009fe8ef493329a013d6281f9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B043,score_bo_l10_rm002_erp015__breakout_5d_after_signal__low20,2,score_bo_l10_rm002_erp015__breakout_5d_after_signal__low20;score_bo_l10_rp000_erp015__breakout_5d_after_signal__low20,49cdb4c1fb186cff8c98b23a9b416209efc1950b727f07c558a50e2c2f5baa93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B044,score_bo_l10_rm002_erp015__breakout_5d_after_signal__low20_minus_0_5atr,2,score_bo_l10_rm002_erp015__breakout_5d_after_signal__low20_minus_0_5atr;score_bo_l10_rp000_erp015__breakout_5d_after_signal__low20_minus_0_5atr,4a3b8ccbe83e2d4d5799c4fdd4fa6681a8ab7fff13fb2df6f5b694202b48bfe3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B045,score_bo_l10_rm002_erp015__breakout_5d_after_signal__ma50,2,score_bo_l10_rm002_erp015__breakout_5d_after_signal__ma50;score_bo_l10_rp000_erp015__breakout_5d_after_signal__ma50,3bc911efbc33349e34c73ff19051d7be14bd3bd8bf3334da2a555d48f51a8a94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B046,score_bo_l10_rm002_erp015__first_signal__chandelier20_2_5atr,2,score_bo_l10_rm002_erp015__first_signal__chandelier20_2_5atr;score_bo_l10_rp000_erp015__first_signal__chandelier20_2_5atr,0317c5b9a418a735132ef3931ec8b8288c871e7839dd338f8925e1f63076313c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
