strategy_key,threshold_percent,episode_count,mean_crash_loss_capture,median_crash_loss_capture,worst_crash_loss_capture,mean_relative_crash_protection,worst_relative_crash_protection,mean_strategy_crash_maximum_drawdown,worst_strategy_crash_maximum_drawdown,mean_exposure_at_onset,mean_exposure_after_10d,mean_10d_exposure_reduction,mean_days_to_exposure_below_50pct,proportion_positive_strategy_return,proportion_loss_less_than_half_spy,proportion_recovered_before_spy
score_bo_l10_rp000_erp010__first_signal__low10,20,2,0.565474483531,0.565474483531,1.01756747381,0.0802684506755,-0.00136234776769,-0.11274498587,-0.134613561074,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l10_rp000_erp015__first_signal__low10,20,2,0.538040751128,0.538040751128,0.968341616807,0.0826922569275,0.00245508990885,-0.111371011942,-0.132044886161,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l20_rm002_erp005__first_signal__low10,20,2,0.702324877383,0.702324877383,1.29690986932,0.0699521148269,-0.0230251942924,-0.121484749272,-0.152402946908,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l20_rm002_erp010__first_signal__low10,20,2,0.540800713952,0.540800713952,0.973861542456,0.0824782233542,0.00202702276232,-0.111316039237,-0.131325782249,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l20_rm002_erp015__first_signal__low10,20,2,0.509955330267,0.509955330267,0.912170775084,0.084870265606,0.00681110726592,-0.109366119696,-0.127631995779,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l20_rp000_erp005__first_signal__low10,20,2,0.702324877383,0.702324877383,1.29690986932,0.0699521148269,-0.0230251942924,-0.121484749272,-0.152402946908,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l20_rp000_erp010__first_signal__low10,20,2,0.540800713952,0.540800713952,0.973861542456,0.0824782233542,0.00202702276232,-0.111316039237,-0.131325782249,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l20_rp000_erp015__first_signal__low10,20,2,0.509955330267,0.509955330267,0.912170775084,0.084870265606,0.00681110726592,-0.109366119696,-0.127631995779,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l20_rp002_erp005__first_signal__low10,20,2,1.71863604221,1.71863604221,3.31879848392,-0.00942605533167,-0.179821525434,-0.208305646125,-0.322151770945,0.900207755551,1,-0.0997922444492,18,0.5,0.5,0.5
score_bo_l20_rp002_erp010__first_signal__low10,20,2,1.30347581326,1.30347581326,2.488478026,0.0227693882088,-0.115430638353,-0.178865020231,-0.263092679543,0.900207755551,1,-0.0997922444492,18,1,0.5,0.5
score_bo_l20_rp002_erp015__first_signal__low10,20,2,1.29959845322,1.29959845322,2.48072330594,0.0230700753107,-0.114829264149,-0.190867243985,-0.287296156975,0.900207755551,1,-0.0997922444492,18,0.5,0.5,0.5
score_bo_l40_rm002_erp005__signal_3d_confirm__low20,20,2,0.811437439033,0.811437439033,1.48100515425,0.0596977652408,-0.0373016806675,-0.121383786536,-0.185841604628,0.750209922498,1,-0.249790077502,54,0.5,0.5,0.5
score_bo_l40_rm002_erp005__signal_3d_confirm__low20_minus_0_5atr,20,2,0.968444347636,0.968444347636,1.83911900256,0.0498384011576,-0.0650732092968,-0.118637740473,-0.180349512503,0.700372940898,1,-0.299627059102,22,0.5,0.5,0.5
score_bo_l40_rm002_erp005__signal_3d_confirm__ma50,20,2,0.81389880424,0.81389880424,1.51894485906,0.0612411640151,-0.0402438835545,-0.130702844042,-0.204518556749,0.674792721996,1,-0.325207278004,54,0.5,0.5,0.5
score_bo_l40_rm002_erp010__signal_3d_confirm__low20,20,2,0.942814770309,0.942814770309,1.7437598168,0.0495095266849,-0.0576781577795,-0.134982577667,-0.212585439489,0.750209922498,1,-0.249790077502,21,0.5,0.5,0.5
score_bo_l40_rm002_erp010__signal_3d_confirm__low20_minus_0_5atr,20,2,1.08970923644,1.08970923644,2.08164878018,0.0404343768587,-0.0838812578945,-0.131747831274,-0.206115946702,0.686326041818,1,-0.313673958182,22,0.5,0.5,0.5
score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,20,2,0.848407533307,0.848407533307,1.5879623172,0.058565031378,-0.0455961488286,-0.133216336588,-0.209092081071,0.775646271016,1,-0.224353728984,21,0.5,0.5,0.5
